회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
대덕정밀,,개별입지,2012-09-12,서울특별시 금천구 벚꽃로20길 16 (독산동),02-804-1532,02-808-5037,10,스포츠용품,기타 운동 및 경기용구 제조업 외 2 종,2025-10-31
대동금속공업사,,개별입지,2008-12-05,서울특별시 금천구 두산로 8 (독산동),02-804-1733,02-806-9497,6,단추,단추 및 유사 파스너 제조업,2025-10-31
대동리빙,,개별입지,2024-02-05,"서울특별시 금천구 벚꽃로18길 43 (독산동, 대동리빙)",02-808-6464,,30,"포장용프라스틱 성형용기, 플라스틱 제품",그 외 기타 플라스틱 제품 제조업 외 2 종,2025-10-31
대동리빙,,개별입지,2012-09-25,서울특별시 금천구 두산로 59 (독산동),02-807-6464,,6,"금형,일반성형제품",포장용 플라스틱 성형용기 제조업,2025-10-31
대련정밀,,개별입지,2003-02-13,서울특별시 금천구 시흥대로123길 85 (독산동),02-864-4031,,9,금형,주형 및 금형 제조업,2025-10-31
대림전자,,개별입지,2010-12-14,"서울특별시 금천구 문성로 35-7, 지하 (독산동)",02-867-3734,02-868-0923,20,냉장고용 소켓,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
대명애드,,개별입지,2018-08-17,서울특별시 금천구 독산로67길 8 (독산동),02-856-0999,02-856-5515,4,옥내외 광고물,간판 및 광고물 제조업,2025-10-31
대명프라스틱공업사,,개별입지,1979-05-23,"서울특별시 금천구 벚꽃로 114 (독산동, 대명플라스틱)",02-892-2497,02-805-1536,19,프라스틱부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
대성금형,,개별입지,2017-08-23,"서울특별시 금천구 두산로13길 28 (독산동, 대성금형 독산동공장)",02-809-1214,02-809-1218,11,금형,주형 및 금형 제조업,2025-10-31
대성산업,,개별입지,2008-12-29,"서울특별시 금천구 벚꽃로 122, 1F (독산동)",02-805-4545,,5,산업용기계,일반철물 제조업,2025-10-31
대성전기,,개별입지,2019-10-23,서울특별시 금천구 시흥대로101길 3-15 (독산동),02-812-3357,,4, ,교통 신호장치 제조업 외 4 종,2025-10-31
대신실업,동일테크노타운,개별입지,2015-04-20,"서울특별시 금천구 범안로17길 61, 3층 301 (독산동, 동일테크노타운8차)",02-821-9144,02-821-9144,10,의류,남자용 겉옷 제조업 외 4 종,2025-10-31
대영정밀,대동,개별입지,1994-09-28,"서울특별시 금천구 범안로9길 58, 102호 (독산동)",02-805-6055,02-806-6058,13,금형,주형 및 금형 제조업,2025-10-31
대영테크윈(주),대동,개별입지,1994-09-22,"서울특별시 금천구 범안로9길 58, 603호 (독산동)",02-896-2704,02-896-2709,37,"전기,전자",배전반 및 전기 자동제어반 제조업,2025-10-31
대우인쇄교역,,개별입지,2002-10-11,"서울특별시 금천구 두산로9길 28 (독산동, 조이프린)",02-852-0105,,10,칼라박스,기타 인쇄업 외 1 종,2025-10-31
대웅교역(주),,개별입지,1998-01-22,서울특별시 금천구 벚꽃로 160 (독산동),02-804-0555,02-804-0058,15,봉제완구,인형 및 장난감 제조업,2025-10-31
대웅정밀,,개별입지,1996-09-20,"서울특별시 금천구 두산로3길 24 (독산동, 대웅정밀)",02-867-1801,02-867-1805,13,"금형,플라스틱,사출제품",주형 및 금형 제조업,2025-10-31
대원인쇄,,개별입지,2021-03-24,서울특별시 금천구 범안로9길 57 (독산동) 아트프린팅(주) 1층,02-805-8853,02-805-8890,2,인쇄물,기타 인쇄업 외 1 종,2025-10-31
대일유공,,개별입지,2020-04-08,서울특별시 금천구 가산로 81 (독산동),02-859-8661,02-859-8664,8,철도차량부품,기타 가공 공작기계 제조업 외 2 종,2025-10-31
대일정공사,,개별입지,2009-02-09,서울특별시 금천구 두산로13길 17 (독산동),02-862-9119,02-830-0680,3,금형,주형 및 금형 제조업,2025-10-31
대진정공,,개별입지,2003-04-16,서울특별시 금천구 두산로10길 16 (독산동),02-895-8001,,31,금형,주형 및 금형 제조업,2025-10-31
대창산업,,개별입지,2012-11-06,서울특별시 금천구 두산로9길 17 (독산동),02-868-5023,,9,엘지하우시스 산업재 샘플북 가공,기타 종이 및 판지 제조업 외 2 종,2025-10-31
대한미술,,개별입지,2005-03-16,서울특별시 금천구 두산로 19 (독산동),02-804-9091,,10,인쇄물,기타 인쇄업 외 1 종,2025-10-31
대현,,개별입지,2008-06-27,"서울특별시 금천구 두산로 45, 2층 (독산동)",02-830-3400,,4,자동차 범퍼,그 외 자동차용 신품 부품 제조업 외 3 종,2025-10-31
대현,,개별입지,2003-05-09,"서울특별시 금천구 가산로3길 135 (독산동, 대현공업사)",02-830-7701,,45,핸드폰케이스,운송장비 조립용 플라스틱제품 제조업 외 1 종,2025-10-31
대현정공,,개별입지,2001-03-13,서울특별시 금천구 시흥대로123길 38 (독산동),02-866-3580,02-866-3580,4,전자부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
대흥전자,,개별입지,2023-01-20,"서울특별시 금천구 금하로1길 57, 지하1층 (독산동)",050-7145-91502,,2,"케이블, 전기용 기계장비, 전자부품, 콘트롤러",배전반 및 전기 자동제어반 제조업,2025-10-31
덕산기업,,개별입지,2009-07-02,"서울특별시 금천구 범안로15길 58 (독산동, 동일빌딩)",02-895-0277,02-895-0279,12,플라스틱사출,운송장비 조립용 플라스틱제품 제조업 외 3 종,2025-10-31
덕수정밀,,개별입지,1994-06-21,서울특별시 금천구 독산제1동 293-18번지,02-894-8564,02-894-8567,4,도어록 부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
독산공업사,,개별입지,1991-04-26,"서울특별시 금천구 남부순환로 1314-22 (독산동, 명성조명(주))",,,0,문구류,문구용 종이제품 제조업,2025-10-31
동부금형열처리,,개별입지,2006-08-18,서울특별시 금천구 두산로 44 (독산동),02-855-6466,,3,철재,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-10-31
동산정공사,,개별입지,2006-06-20,"서울특별시 금천구 두산로10길 22, 1,3층 (독산동)",02-805-1861,02-805-1861,9,금형,주형 및 금형 제조업,2025-10-31
동아정공사,,개별입지,1987-07-13,서울특별시 금천구 범안로17길 64 (독산동),02-804-3882,02-808-5659,3,기계부품,주형 및 금형 제조업,2025-10-31
동양비지니스폼(주),,개별입지,2016-04-18,"서울특별시 금천구 두산로11길 36, 1층 (독산동)",02-862-0111,02-869-1226,4,"전산기록지, 인쇄",문구용 종이제품 제조업 외 3 종,2025-10-31
동양식품기계(주),,개별입지,2008-08-26,서울특별시 금천구 두산로11길 23 (독산동),02-856-9759,02-853-0315,15,"제빵,제과 기기",음ㆍ식료품 및 담배 가공기계 제조업,2025-10-31
동은인터네쇼날,,개별입지,2004-12-09,"서울특별시 금천구 시흥대로 426 (독산동, 영진빌딩)",02-859-9201,,4,탭밸브유사장치,"탭, 밸브 및 유사장치 제조업 외 1 종",2025-10-31
동일정밀,,개별입지,2003-08-21,서울특별시 금천구 범안로12가길 26 (독산동),02-809-9930,,9,금형,주형 및 금형 제조업,2025-10-31
두양텍(주),,개별입지,2002-09-11,"서울특별시 금천구 시흥대로123길 79 (독산동, (주)두양화학)",02-852-7591,02-852-7623,32,플라스틱,그 외 기타 플라스틱 제품 제조업,2025-10-31
두진양행(주),동일테크노타운,개별입지,2019-11-28,"서울특별시 금천구 범안로17길 61, 8층 8801 (독산동, 동일테크노타운8차)",02-857-7361,02-857-7367,30,"점퍼, 쟈켓, 셔츠, 티셔츠 바지, 치마","근무복, 작업복 및 유사의복 제조업 외 5 종",2025-10-31
두화실업,,개별입지,2015-10-16,"서울특별시 금천구 남부순환로 1372 (독산동, 현경빌딩)",02-858-3916,02-859-3916,6,청바지,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
라텍코리아시스템,,개별입지,2010-03-23,"서울특별시 금천구 가산로3길 129 (독산동, (주)캐리마)",02-802-4521,,13,"안전변,카플링, 에어노카, 밸브류","탭, 밸브 및 유사장치 제조업 외 1 종",2025-10-31
로엠케이 창미,,개별입지,2020-02-26,"서울특별시 금천구 두산로 70, B동 11층 1102 (독산동)",02-2169-2847,,30,여성의류,여자용 겉옷 제조업,2025-10-31
로이씨앤씨,,개별입지,2024-01-17,"서울특별시 금천구 두산로 70, a동 b206호(독산동, 현대지식산업센터)",02-2169-2832,,2,"쉐프복. 작업복, 골프의류",가죽의복 제조업 외 21 종,2025-10-31
리플라이트,,개별입지,2008-03-10,"서울특별시 금천구 범안로11길 28, 3층 (독산동)",02-2029-5080,02-2029-5081,5,전사라벨,스크린 인쇄업,2025-10-31
마망갸또,,개별입지,2024-08-05,"서울특별시 금천구 두산로14길 4, 3층,5층(독산동, 성화빌딩)",02-6407-3937,,25,"케익류, 과자류, 캔디류",과자류 및 코코아 제품 제조업 외 1 종,2025-10-31
맥 엔지니어링,,개별입지,2007-03-14,"서울특별시 금천구 벚꽃로12길 5, 삼보디지털 4층 (독산동)",02-895-0635,,8,전자제품 샘플,그 외 기타 플라스틱 제품 제조업,2025-10-31
명성뱅킹머신,,개별입지,2015-12-11,"서울특별시 금천구 벚꽃로14길 17, 3, 4층 (독산동)",02-854-7785,02-854-7784,12,지폐개수기,사무용 기계 및 장비 제조업,2025-10-31
명성전기,,개별입지,2008-07-24,"서울특별시 금천구 범안로12길 30 (독산동, 명성전기)",02-806-2411,02-806-0482,30,직류전동기(DCMOTOR),전기용 탄소제품 및 절연제품 제조업,2025-10-31
명성조명(주),,개별입지,1979-05-04,"서울특별시 금천구 두산로 14 (독산동, C&C엔니어링)",02-804-0081,02-805-9659,3,칼라휠타(조명용),전구 및 램프 제조업,2025-10-31
명지어패럴,현대지식산업센터,개별입지,2020-02-26,"서울특별시 금천구 두산로 70, B동 13층 1302 (독산동)",02-2169-2255,02-2169-2256,25,여성의류,여자용 겉옷 제조업,2025-10-31
명지정밀,,개별입지,1997-12-11,서울특별시 금천구 시흥대로90길 6 (독산동),02-892-3113,02-892-3114,7,금형 및 기계부품,주형 및 금형 제조업,2025-10-31
명진정공(주),,개별입지,2011-08-23,"서울특별시 금천구 범안로11길 49 (독산동, 한성볼트)",02-868-0311,,44,자동차부품 제조,자동차 엔진용 신품 부품 제조업 외 1 종,2025-10-31
명화공업(주),,개별입지,1979-06-05,서울특별시 금천구 두산로11길 32 (독산동),02-852-0211,02-854-0211,32,자동차부품,금속 절삭기계 제조업,2025-10-31
명화엔지니어링,,개별입지,1998-10-17,서울특별시 금천구 범안로21길 14 (독산동),02-891-8392,02-891-8395,6,금형,주형 및 금형 제조업,2025-10-31
모델솔루션(주),,개별입지,2018-07-04,서울특별시 금천구 범안로11길 28 (독산동),02-896-0311,02-896-3181,20,핸드폰 모형,전시용 모형 제조업,2025-10-31
모델솔루션주식회사,,개별입지,2018-07-04,서울특별시 금천구 벚꽃로20길 24 (독산동),02-896-0311,,160,금형 및 사출,주형 및 금형 제조업,2025-10-31
모비플러스,,개별입지,2008-03-20,"서울특별시 금천구 범안로17길 17-16, 2층 (독산동)",02-896-0136,,6,계전기,배전반 및 전기 자동제어반 제조업,2025-10-31
무극노트사,,개별입지,2015-08-20,서울특별시 금천구 두산로7길 11 (독산동),02-862-0001,02-864-8482,17,"문구/사무용 노트류, 보고서류, 바인다지류",문구용 종이제품 제조업,2025-10-31
미래밸브콘트롤(주),현대지식산업센터,개별입지,2014-08-27,"서울특별시 금천구 두산로 70, 비동 B2층 B213호, B204호 (독산동) 외 1필지",02-2098-9770,02-2098-9789,10,밸브,"탭, 밸브 및 유사장치 제조업",2025-10-31
미래이에스피 주식회사,,개별입지,2024-04-24,"서울특별시 금천구 두산로 70, A동 1712호(독산동, 현대지식산업센터)",02-6265-0414,,3,"전력량계, 모뎀, DCU",속도계 및 적산계기 제조업 외 4 종,2025-10-31
미래테크,,개별입지,2018-10-01,서울특별시 금천구 독산동 1060-25 미래테크,02-2675-4841,,5,LED조명,전구 및 램프 제조업,2025-10-31
미주산업,,개별입지,2015-04-20,"서울특별시 금천구 남부순환로 1420, 4~5층 (독산동)",02-851-9774,02-851-2994,10,의류,남자용 겉옷 제조업 외 4 종,2025-10-31
미창유리(주),,개별입지,2008-12-26,서울특별시 금천구 가산로3길 47 (독산동),02-856-0963,,6,복층유리,안전유리 제조업 외 1 종,2025-10-31
백강정보통신(주),동일테크노타운,개별입지,2024-07-31,"서울특별시 금천구 범안로17길 61, 601호 (독산동)",02-892-3500,02-892-7266,42,"card reader, 카드도어록",그 외 기타 전자부품 제조업 외 1 종,2025-10-31
버티칼나라,,개별입지,2019-10-29,"서울특별시 금천구 두산로11길 32, 지층 (독산동)",02-868-1340,02-868-1341,3,"롤스크린, 커텐, 버티칼, 블라인드",커튼 및 유사제품 제조업 외 2 종,2025-10-31
벨라하우스,,개별입지,2020-12-03,서울특별시 금천구 두산로 70 (독산동) 현대지식산업센터 A동 702호, ,,3,"방진복, 남성의류, 여성의류, 군복",남자용 겉옷 제조업 외 3 종,2025-10-31
부성정밀,,개별입지,2008-01-29,서울특별시 금천구 범안로18길 14 (독산동),02-894-7549,,4,금형,주형 및 금형 제조업,2025-10-31
부흥메디칼,,개별입지,2004-01-15,서울특별시 금천구 벚꽃로 176 (독산동),02-838-5866,,25,건강기기,그 외 기타 의료용 기기 제조업,2025-10-31
비-텍크,,개별입지,2016-05-02,"서울특별시 금천구 벚꽃로 122, 4층 (독산동, 인재와이어)",02-2644-3397,,10,야광조끼 외 39종,남자용 겉옷 제조업 외 24 종,2025-10-31
사단법인 한국장애인문인복지후원회,,개별입지,2020-11-09,서울특별시 금천구 두산로10길 16 (독산동),02-2271-2526,02-3663-2113,5,"문구용 종이제품, 오프셋인쇄, 기타인쇄",문구용 종이제품 제조업 외 2 종,2025-10-31
삼보공업사,,개별입지,1994-06-24,서울특별시 금천구 벚꽃로12길 5 (독산동),02-806-1922,02-806-1925,24,체인기어,주형 및 금형 제조업,2025-10-31
삼양모피(주),,개별입지,1998-07-06,"서울특별시 금천구 범안로 1153 (독산동, 삼양모피(주))",02-809-7777,02-808-9181,75,모피,모피제품 제조업 외 1 종,2025-10-31
삼양전기,,개별입지,1979-06-30,서울특별시 금천구 가산로 50-15 (독산동),02-851-3381,02-852-6370,17,"형광등기구,스탠드",방전램프용 안정기 제조업,2025-10-31
삼우어패럴,동일테크노타운,개별입지,1999-12-24,"서울특별시 금천구 범안로17길 61, 503호 (독산동)",02-839-2666,02-839-2668,13,남녀기성복,남자용 겉옷 제조업 외 1 종,2025-10-31
삼원금형정공(주),,개별입지,2004-03-05,"서울특별시 금천구 두산로 32 (독산동, B동)",02-891-1011,02-891-1017,64,금형제조,주형 및 금형 제조업,2025-10-31
삼원금형정공(주),,개별입지,1996-12-02,서울특별시 금천구 범안로15길 73 (독산동),02-891-1011,02-891-1017,30,금형,주형 및 금형 제조업,2025-10-31
삼육지관공업(주),,개별입지,1979-06-26,서울특별시 금천구 범안로 1164 (독산동),02-805-3636,02-809-6463,26,지관및지통,그 외 기타 종이 및 판지 제품 제조업,2025-10-31
삼진비닐산업사,,개별입지,1989-05-17,"서울특별시 금천구 벚꽃로 154-1 (독산동, 동명비니스폼(주))",02-809-3311,02-809-1800,10,"책표지,노트표지,비닐빽",문구용 종이제품 제조업,2025-10-31
삼진어패럴,,개별입지,2018-11-13,"서울특별시 금천구 두산로14길 14, 5층 (독산동, 동의어페럴)",02-858-5274,,20,바지,남자용 겉옷 제조업,2025-10-31
삼풍파워 주식회사,,개별입지,2006-11-17,"서울특별시 금천구 범안로9길 48, 2층 (독산동)",02-891-7160,02-892-5269,15,ups avr 정류기,기타 전기 변환장치 제조업 외 1 종,2025-10-31
삼화전기공업(주),,개별입지,1959-06-25,"서울특별시 금천구 두산로11길 7 (독산동, (주)솔링크)",02-837-9400,02-862-5700,22,"통신기기부품(탄기반,피칙기)",기타 무선 통신장비 제조업,2025-10-31
삼화주철공업(주),,개별입지,2010-10-19,"서울특별시 금천구 범안로19길 14 (독산동, 삼화통신공업(주))", ,02-802-0985,10,"LED전등, LED TV, 모니터, 방송수신기 등",컴퓨터 모니터 제조업 외 3 종,2025-10-31
삼화통신공업(주),,개별입지,2004-03-16,"서울특별시 금천구 범안로19길 14 (독산동, 삼화통신공업(주))",02-2109-1071,02-894-4107,74,통신기자재,유선 통신장비 제조업 외 3 종,2025-10-31
삼화화학,,개별입지,1990-12-27,서울특별시 금천구 시흥대로105길 11 (독산동),02-804-2231,02-895-3551,7,침대부품.다리미부품,그 외 기타 플라스틱 제품 제조업,2025-10-31
상우정밀,,개별입지,2006-06-22,"서울특별시 금천구 범안로9길 48, 1,2층 (독산동)",02-804-0766,02-803-0554,22,자동차부품,주형 및 금형 제조업,2025-10-31
서광라이텍,,개별입지,2011-04-26,서울특별시 금천구 시흥대로136길 27 (독산동),02-851-3971,02-851-3972,2,조명기구,일반용 전기 조명장치 제조업,2025-10-31
석수유압기계(주),,개별입지,1998-11-11,"서울특별시 금천구 시흥대로123길 24 (독산동, 양서골프연습장)",02-830-6060,02-830-8070,4,"유압부품,유압유니트",액체 펌프 제조업 외 1 종,2025-10-31
선운지앤디,,개별입지,2022-05-25,"서울특별시 금천구 두산로11길 36, 2층(독산동)",02-2676-7645,,3,전산용지 인쇄,기타 인쇄업 외 1 종,2025-10-31
성 주,,개별입지,2008-11-14,서울특별시 금천구 독산로 282 (독산동),02-838-3666,,25,티셔츠,편조의복 제조업,2025-10-31
성수정밀,,개별입지,2005-02-24,서울특별시 금천구 두산로13길 33 (독산동),02-865-1227,,6,전자부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
성원자동기계(주),,개별입지,1990-12-27,서울특별시 금천구 범안로9길 9 (독산동),02-891-1009,02-809-0590,17,식품자동기계(아스크림제조기),기기용 자동측정 및 제어장치 제조업,2025-10-31
성일산업,,개별입지,1997-01-13,"서울특별시 금천구 벚꽃로 170 (독산동, 민성산업)",02-893-0033,02-856-1553,19,전자부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
성일화학,,개별입지,1991-04-29,"서울특별시 금천구 두산로9길 28 (독산동, 조이프린)",02-894-0213,02-856-1553,3,고무제품,그 외 기타 고무제품 제조업,2025-10-31
성진정밀,,개별입지,2000-01-21,서울특별시 금천구 가산로 79 (독산동),02-867-3486,02-851-9655,4,금형제작,주형 및 금형 제조업,2025-10-31
세명개발(주),현대지식산업센터,개별입지,2018-12-14,"서울특별시 금천구 두산로 70, A동 5층 508 (독산동)",02-833-4811,02-833-4812,10,남녀 단체유니폼,남자용 겉옷 제조업 외 17 종,2025-10-31
세진정공사,,개별입지,2008-04-02,서울특별시 금천구 서부샛길 216 (독산동),02-839-9851,,4,금형,자동차용 금속 압형제품 제조업 외 1 종,2025-10-31
센티오(주),,개별입지,2024-11-27,서울특별시 금천구 두산로 70 (독산동) B동 3층 20호,02-2169-2234,,10,"Monitor, TV, DID",텔레비전 제조업,2025-10-31
송용섭,,개별입지,2003-02-28,"서울특별시 금천구 두산로 30 (독산동, 삼원사)",02-891-1015,,20,금형,주형 및 금형 제조업,2025-10-31
수성정밀금형(주),,개별입지,2000-12-14,서울특별시 금천구 두산로3길 13 (독산동),02-678-5427,,10,금형,주형 및 금형 제조업,2025-10-31
스타공구 주식회사,,개별입지,2012-07-02,서울특별시 금천구 범안로15길 27-15 (독산동),02-809-0946,,9,엔드밀,톱 및 호환성 공구 제조업,2025-10-31
승원 트레이딩,,개별입지,2009-07-28,"서울특별시 금천구 두산로13길 37, 기원빌딩 5층 (독산동)",02-3281-4700,02-3281-4702,15,골프 의류,셔츠 및 블라우스 제조업 외 1 종,2025-10-31
시온전자,,개별입지,1991-01-14,서울특별시 금천구 남부순환로126길 14 (독산동),02-855-4123,02-855-4131,5,"인터폰, 차임벨, 도난경보기",그 외 기타 전자부품 제조업 외 1 종,2025-10-31
신성금속공업(주),,개별입지,1979-05-07,"서울특별시 금천구 벚꽃로20길 11 (독산동, 신영)",02-805-0223,02-805-0222,30,명판,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-10-31
신성산업,,개별입지,2017-06-30,"서울특별시 금천구 시흥대로 344, 303, 304, 305호 (독산동, 창고)", ,02-806-9005,8,의류,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
신신전자공업(주),,개별입지,2018-05-14,"서울특별시 금천구 범안로12길 29-15, 지하1층,1층,2층 (독산동)",02-894-2694,02-894-2674,48,온도센서 제조,그 외 기타 전자부품 제조업,2025-10-31
신영지콤주식회사,,개별입지,2009-09-28,"서울특별시 금천구 두산로11길 52 (독산동, 신화정공사)",02-895-1248,02-896-1249,13,휴대폰 케이스(부품),"고무, 화학섬유 및 플라스틱 성형기 제조업 외 2 종",2025-10-31
신영화학,,개별입지,2011-08-29,서울특별시 금천구 범안로12길 7 (독산동),02-803-9611,,20,포장용플리스틱 성형용기 제조,포장용 플라스틱 성형용기 제조업,2025-10-31
신우이엔지(주),대동,개별입지,2014-02-24,서울특별시 금천구 범안로9길 58 (독산동),02-806-4317,02-806-4319,104,전기경보장치,전기경보 및 신호장치 제조업 외 8 종,2025-10-31
신일전공,,개별입지,2006-02-23,"서울특별시 금천구 벚꽃로 188 (독산동, (주)보성강재)",02-511-4509,,1,조명,일반용 전기 조명장치 제조업 외 1 종,2025-10-31
신진기획,,개별입지,2011-07-28,"서울특별시 금천구 독산로 267, 대진빌딩 201호 (독산동)",02-855-8162,02-866-5093,2,"광고물, 간판",간판 및 광고물 제조업,2025-10-31
아륙전자공업(주),,개별입지,1979-06-05,"서울특별시 금천구 벚꽃로14길 8 (독산동, 아륙전자공업(주))",02-891-0001,02-891-5000,6,중.소형 광단국장치,유선 통신장비 제조업,2025-10-31
아산섬유,,개별입지,2001-12-21,서울특별시 금천구 범안로9길 38 (독산동),02-862-9496,02-893-8348,8,스웨터,편조의복 제조업,2025-10-31
아시아전자,,개별입지,2010-04-30,"서울특별시 금천구 범안로13길 17, 3층 (독산동)",02-858-5512,02-858-5513,10,미용기기,기타 가정용 전기기기 제조업,2025-10-31
아이리스패션,현대지식산업센터,개별입지,2018-04-13,"서울특별시 금천구 두산로 70, A동 5층 507 (독산동)",02-542-2328,02-921-3432,6,"남여근무복, 작업복, 정장 외",남자용 겉옷 제조업 외 15 종,2025-10-31
아진금형 주식회사,,개별입지,2024-03-05,서울특별시 금천구 범안로17길 72 (독산동),02-895-4524,,20,금형,주형 및 금형 제조업 외 3 종,2025-10-31
아트프린팅 주식회사,,개별입지,2016-10-11,서울특별시 금천구 범안로9길 38 (독산동),02-805-8874,02-805-8890,11,"다이어리, 카렌다, 문구류 등 종이 가공물 일체",기타 인쇄업 외 2 종,2025-10-31
아트프린팅(주),,개별입지,2021-03-17,"서울특별시 금천구 범안로9길 57 (독산동, 아트프린팅(주))",02-805-8874,02-805-8890,30,인쇄물(도서),기타 인쇄업 외 2 종,2025-10-31
안성몰드,,개별입지,2005-07-15,서울특별시 금천구 독산동번지 144-22,02-867-0683,,8,"자동차,가전제품금형제조",주형 및 금형 제조업,2025-10-31
앤츠스튜디오 주식회사,,개별입지,2020-04-29,"서울특별시 금천구 범안로9길 49, 5층,6층 (독산동)",070-5105-9200,070-5105-9202,47,플라스틱가공품 및 지작품,그 외 기타 플라스틱 제품 제조업,2025-10-31
앰아이피,현대지식산업센터,개별입지,2014-10-10,"서울특별시 금천구 두산로 70, 4층 418 (독산동)",02-867-5481,02-867-5483,5,"전자서명기, 전자가격표시기",기타 주변기기 제조업,2025-10-31
에스넷산업(주),,개별입지,2006-02-07,"서울특별시 금천구 두산로14길 14-13 (독산동, 덕산하이츠빌)",02-841-0804,02-841-0806,5,"카메라,케이블,DVR",방송장비 제조업 외 1 종,2025-10-31
에스앤엘테크놀로지,,개별입지,2008-09-16,"서울특별시 금천구 두산로 39, 대명빌딩 3층 (독산동)",02-894-1082,,9,전자제품,전자부품 실장기판 제조업,2025-10-31
에스제이씨엔아이(주),,개별입지,2018-04-27,"서울특별시 금천구 두산로 50, 삼정빌딩 3층 (독산동)",02-895-2100,02-895-2949,18,정보통신 접속자재,"전기회로 개폐, 보호장치 제조업 외 1 종",2025-10-31
에스포사주식회사,,개별입지,2007-03-05,서울특별시 금천구 가산로 34 (독산동),02-854-2046,,25,남성용티셔츠 및 바지,셔츠 및 블라우스 제조업 외 4 종,2025-10-31
에이스,,개별입지,2002-03-16,서울특별시 금천구 벚꽃로20길 15 (독산동),02-896-0234,02-896-0238,6,"포장기,충진기","용기 세척, 포장 및 충전기 제조업",2025-10-31
에이스,,개별입지,2015-03-12,"서울특별시 금천구 두산로 70, 4층 425 (독산동)", ,02-896-0238,5,"의류, 자켓, 바지, 내의",침구 및 관련제품 제조업 외 11 종,2025-10-31
엘비엘통상(주),,개별입지,1979-06-25,서울특별시 금천구 범안로20길 15 (독산동),02-804-1151,02-804-7784,51,포충제,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,2025-10-31
엠쓰리파트너스 주식회사,,개별입지,2021-05-20,"서울특별시 금천구 범안로9길 49, 지하2층 지하1층 1층 2층 3층 7층 (독산동)",02-6959-6000,02-6959-6001,30,정밀 기계 가공,운송장비 조립용 플라스틱제품 제조업 외 2 종,2025-10-31
엠씨디,,개별입지,2024-09-26,"서울특별시 금천구 두산로 44, 1층 엠씨디 (독산동)",02-861-7324,,0,디자인 mock-up,전시용 모형 제조업,2025-10-31
엠에스택,,개별입지,2011-11-15,"서울특별시 금천구 두산로 15 (독산동, 대성자동차 공업사)",02-783-4230,,6,전광판,운송장비용 조명장치 제조업 외 3 종,2025-10-31
엠케이상사,,개별입지,2010-03-15,"서울특별시 금천구 독산로78다길 22, 아셈그린힐아파트 상가3호 (독산동)",02-803-4338,02-893-6004,8,"니트의류, 장갑",편조의복 제조업 외 1 종,2025-10-31
엠케이씨코리아,현대지식산업센터,개별입지,2015-06-04,"서울특별시 금천구 두산로 70, B동 9층 909,910 (독산동)",02-804-3600,02-893-0498,2,비파괴측정기기,"물질 검사, 측정 및 분석기구 제조업",2025-10-31
엠포인트디자인,,개별입지,2009-05-29,서울특별시 금천구 두산로3길 21 (독산동),02-862-2712,02-862-2713,2,핸드폰 모형,전시용 모형 제조업,2025-10-31
연지,,개별입지,2022-12-16,"서울특별시 금천구 벚꽃로 152, 1층 일부(독산동, 연지빌딩)",02-2634-2455,,10,동전극 가공,그 외 기타 달리 분류되지 않은 제품 제조업,2025-10-31
영광사,,개별입지,1997-05-21,서울특별시 금천구 독산로108길 63 (독산동),02-857-0711,,10,원단편조,그 외 기타 분류 안된 섬유제품 제조업,2025-10-31
영림,,개별입지,2007-03-21,서울특별시 금천구 남부순환로 1408 (독산동),02-866-0257,02-856-6763,25,여성의류,그 외 기타 봉제의복 제조업,2025-10-31
영신미디어(주),,개별입지,1991-01-14,서울특별시 금천구 남부순환로126길 15 (독산동),02-865-5845,02-867-7379,10,카세트 테이프,고무패킹류 제조업 외 1 종,2025-10-31
영지화학엔지니어링,,개별입지,2007-11-30,서울특별시 금천구 범안로17길 71 (독산동),02-809-3888,,7,건설기계,건설 및 채광용 기계장비 제조업,2025-10-31
영진건업,,개별입지,2004-11-01,서울특별시 금천구 두산로7길 10 (독산동),02-854-3815,02-809-1456,20,"휀코일커버,금속건축자재",육상 금속 골조 구조재 제조업 외 1 종,2025-10-31
영진건영(주),,개별입지,2010-10-11,서울특별시 금천구 두산로7길 10 (독산동),02-864-3121,02-854-3815,5,"PD 카바, 휀코일 카바 등","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2025-10-31
영진산업,,개별입지,1994-10-13,서울특별시 금천구 독산로 238 (독산동),02-864-1520,02-856-3765,63,T-샤츠,셔츠 및 블라우스 제조업 외 1 종,2025-10-31
